k_factor,finish_multiplier,title_fight_multiplier,five_round_multiplier,log_loss,brier_score,accuracy,num_predictions
40.00,1.20,1.15,1.10,0.681867,0.244427,0.511444,8957
40.00,1.20,1.00,1.05,0.681867,0.244427,0.511444,8957
40.00,1.20,1.05,1.05,0.681867,0.244427,0.511444,8957
40.00,1.20,1.10,1.05,0.681867,0.244427,0.511444,8957
40.00,1.20,1.15,1.05,0.681867,0.244427,0.511444,8957
40.00,1.20,1.00,1.00,0.681868,0.244427,0.511444,8957
40.00,1.20,1.05,1.00,0.681868,0.244427,0.511444,8957
40.00,1.20,1.10,1.00,0.681868,0.244427,0.511444,8957
40.00,1.20,1.15,1.00,0.681868,0.244427,0.511444,8957
40.00,1.10,1.00,1.10,0.682135,0.244558,0.512113,8957
40.00,1.10,1.05,1.10,0.682135,0.244558,0.512113,8957
40.00,1.10,1.10,1.10,0.682135,0.244558,0.512113,8957
40.00,1.10,1.15,1.10,0.682135,0.244558,0.512113,8957
40.00,1.10,1.00,1.05,0.682136,0.244558,0.512113,8957
40.00,1.10,1.05,1.05,0.682136,0.244558,0.512113,8957
40.00,1.10,1.10,1.05,0.682136,0.244558,0.512113,8957
40.00,1.10,1.15,1.05,0.682136,0.244558,0.512113,8957
40.00,1.10,1.00,1.00,0.682136,0.244558,0.512113,8957
40.00,1.10,1.05,1.00,0.682136,0.244558,0.512113,8957
40.00,1.10,1.10,1.00,0.682136,0.244558,0.512113,8957
40.00,1.10,1.15,1.00,0.682136,0.244558,0.512113,8957
40.00,1.00,1.00,1.10,0.682418,0.244696,0.511109,8957
40.00,1.00,1.05,1.10,0.682418,0.244696,0.511109,8957
40.00,1.00,1.10,1.10,0.682418,0.244696,0.511109,8957
40.00,1.00,1.15,1.10,0.682418,0.244696,0.511109,8957
40.00,1.00,1.00,1.05,0.682418,0.244696,0.511109,8957
40.00,1.00,1.05,1.05,0.682418,0.244696,0.511109,8957
40.00,1.00,1.10,1.05,0.682418,0.244696,0.511109,8957
40.00,1.00,1.15,1.05,0.682418,0.244696,0.511109,8957
40.00,1.00,1.00,1.00,0.682419,0.244696,0.511109,8957
40.00,1.00,1.05,1.00,0.682419,0.244696,0.511109,8957
40.00,1.00,1.10,1.00,0.682419,0.244696,0.511109,8957
40.00,1.00,1.15,1.00,0.682419,0.244696,0.511109,8957
30.00,1.30,1.00,1.10,0.683601,0.245266,0.512672,8957
30.00,1.30,1.05,1.10,0.683601,0.245266,0.512672,8957
30.00,1.30,1.10,1.10,0.683601,0.245266,0.512672,8957
30.00,1.30,1.15,1.10,0.683601,0.245266,0.512672,8957
30.00,1.30,1.00,1.05,0.683602,0.245266,0.512672,8957
30.00,1.30,1.05,1.05,0.683602,0.245266,0.512672,8957
30.00,1.30,1.10,1.05,0.683602,0.245266,0.512672,8957
30.00,1.30,1.15,1.05,0.683602,0.245266,0.512672,8957
30.00,1.30,1.00,1.00,0.683602,0.245267,0.512672,8957
30.00,1.30,1.05,1.00,0.683602,0.245267,0.512672,8957
30.00,1.30,1.10,1.00,0.683602,0.245267,0.512672,8957
30.00,1.30,1.15,1.00,0.683602,0.245267,0.512672,8957
30.00,1.20,1.00,1.10,0.683712,0.245320,0.512895,8957
30.00,1.20,1.05,1.10,0.683712,0.245320,0.512895,8957
30.00,1.20,1.10,1.10,0.683712,0.245320,0.512895,8957
30.00,1.20,1.15,1.10,0.683712,0.245320,0.512895,8957
30.00,1.20,1.00,1.05,0.683713,0.245321,0.512895,8957
30.00,1.20,1.05,1.05,0.683713,0.245321,0.512895,8957
30.00,1.20,1.10,1.05,0.683713,0.245321,0.512895,8957
30.00,1.20,1.15,1.05,0.683713,0.245321,0.512895,8957
30.00,1.20,1.00,1.00,0.683713,0.245321,0.512895,8957
30.00,1.20,1.05,1.00,0.683713,0.245321,0.512895,8957
30.00,1.20,1.10,1.00,0.683713,0.245321,0.512895,8957
30.00,1.20,1.15,1.00,0.683713,0.245321,0.512895,8957
30.00,1.10,1.00,1.10,0.683940,0.245432,0.512895,8957
30.00,1.10,1.05,1.10,0.683940,0.245432,0.512895,8957
30.00,1.10,1.10,1.10,0.683940,0.245432,0.512895,8957
30.00,1.10,1.15,1.10,0.683940,0.245432,0.512895,8957
30.00,1.10,1.00,1.05,0.683940,0.245433,0.512895,8957
30.00,1.10,1.05,1.05,0.683940,0.245433,0.512895,8957
30.00,1.10,1.10,1.05,0.683940,0.245433,0.512895,8957
30.00,1.10,1.15,1.05,0.683940,0.245433,0.512895,8957
30.00,1.10,1.00,1.00,0.683941,0.245433,0.512895,8957
30.00,1.10,1.05,1.00,0.683941,0.245433,0.512895,8957
30.00,1.10,1.10,1.00,0.683941,0.245433,0.512895,8957
30.00,1.10,1.15,1.00,0.683941,0.245433,0.512895,8957
30.00,1.00,1.00,1.10,0.684177,0.245549,0.509211,8957
30.00,1.00,1.05,1.10,0.684177,0.245549,0.509211,8957
30.00,1.00,1.10,1.10,0.684177,0.245549,0.509211,8957
30.00,1.00,1.15,1.10,0.684177,0.245549,0.509211,8957
30.00,1.00,1.00,1.05,0.684177,0.245549,0.509211,8957
30.00,1.00,1.05,1.05,0.684177,0.245549,0.509211,8957
30.00,1.00,1.10,1.05,0.684177,0.245549,0.509211,8957
30.00,1.00,1.15,1.05,0.684177,0.245549,0.509211,8957
30.00,1.00,1.00,1.00,0.684178,0.245549,0.509211,8957
30.00,1.00,1.05,1.00,0.684178,0.245549,0.509211,8957
30.00,1.00,1.10,1.00,0.684178,0.245549,0.509211,8957
30.00,1.00,1.15,1.00,0.684178,0.245549,0.509211,8957
20.00,1.30,1.00,1.10,0.686007,0.246446,0.511555,8957
20.00,1.30,1.05,1.10,0.686007,0.246446,0.511555,8957
20.00,1.30,1.10,1.10,0.686007,0.246446,0.511555,8957
20.00,1.30,1.15,1.10,0.686007,0.246446,0.511555,8957
20.00,1.30,1.00,1.05,0.686007,0.246446,0.511555,8957
20.00,1.30,1.05,1.05,0.686007,0.246446,0.511555,8957
20.00,1.30,1.10,1.05,0.686007,0.246446,0.511555,8957
20.00,1.30,1.15,1.05,0.686007,0.246446,0.511555,8957
